15um				
/Hugo/2014/07012014/Gate Freq swp a			Power=100dBm	
	0V		20V	
f	Amp	Phase	Amp	Phase
5280000000	-84.2987511	-148.955823	-83.8535931	-151.00708
5280010000	-85.2932162	-140.097483	-85.1742694	-141.083051
5280020000	-85.5451009	-156.829535	-84.1462486	-146.067195
5280030000	-85.1802787	-148.718367	-84.8011709	-142.140134
5280040000	-85.2142224	-152.384988	-84.9748094	-141.390758
5280050000	-83.6868098	-155.435704	-84.8850754	-147.598833
5280060000	-84.5047589	-152.985359	-84.4250181	-144.454309
5280070000	-84.8850025	-146.187191	-84.1073366	-149.229982
5280080000	-85.0606369	-140.720491	-84.4546735	-149.022252
5280090000	-84.7469715	-147.110575	-85.4183703	-148.213198
5280100000	-84.344048	-143.596032	-85.2168784	-142.473881
5280110000	-85.6783495	-151.39811	-85.0039046	-136.328918
5280120000	-84.5363841	-150.856898	-85.0094381	-149.375806
5280130000	-84.7382343	-142.595789	-83.6218049	-152.483515
5280140000	-83.6851559	-150.66073	-83.484465	-150.231983
5280150000	-84.0741541	-146.543772	-85.871887	-141.291576
5280160000	-84.7900265	-140.704673	-83.7754061	-141.875543
5280170000	-83.9835402	-152.510534	-83.8555452	-136.612982
5280180000	-83.935041	-153.144609	-84.5369585	-148.182507
5280190000	-84.0147824	-145.266162	-84.2908102	-134.489532
5280200000	-85.3400653	-146.902113	-84.1144803	-149.651851
5280210000	-83.3678841	-146.411881	-84.7760931	-137.19889
5280220000	-85.5322011	-144.997734	-82.9982823	-142.314367
5280230000	-84.6890211	-134.349179	-84.5988944	-139.269848
5280240000	-84.2120766	-147.516714	-83.4880936	-137.279548
5280250000	-83.6283967	-143.916812	-82.5297973	-139.816422
5280260000	-84.2491367	-141.226252	-84.2197983	-139.018821
5280270000	-83.4560919	-142.119867	-83.7176526	-136.474706
5280280000	-83.1151175	-141.361341	-83.8050592	-148.466949
5280290000	-84.5848984	-140.001172	-83.139925	-142.069875
5280300000	-84.2364528	-150.220722	-82.9153698	-136.13367
5280310000	-85.0254683	-144.421621	-84.4281616	-147.827169
5280320000	-84.3531851	-146.511994	-84.9675671	-133.049733
5280330000	-84.2040743	-142.910859	-84.8678959	-141.245983
